ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_month,list_date,delist_date,last_ddate
PB2612.SHF,PB2612,SHFE,沪铅2612,PB,,吨,5.0,人民币元/吨,5人民币元/吨,202612,2025-12-16,2026-12-15,20261217
BU2703.SHF,BU2703,SHFE,沥青2703,BU,,吨,10.0,人民币元/吨,1人民币元/吨,202703,2025-03-18,2027-03-15,20270317
CY2610.ZCE,CY610,CZCE,棉纱2610,CY,,吨,5.0,人民币元/吨,5人民币元/吨,202610,2025-10-23,2026-10-21,20261026
PM2609.ZCE,PM609,CZCE,普麦2609,PM,,吨,50.0,人民币元/吨,1人民币元/吨,202609,2025-09-15,2026-09-14,20260917
UR2612.ZCE,UR612,CZCE,尿素2612,UR,,吨,20.0,人民币元/吨,1人民币元/吨,202612,2025-12-15,2026-12-14,20261217
IC2603.CFX,IC2603,CFFEX,IC2603,IC,200.0,张,1.0,指数点,0.2指数点,202603,2025-07-21,2026-03-20,20260320
BC2602.INE,BC2602,INE,国际铜2602,BC,,吨,5.0,人民币元/吨,10人民币元/吨,202602,2025-02-18,2026-02-24,20260303
RB2607.SHF,RB2607,SHFE,螺纹钢2607,RB,,吨,10.0,人民币元/吨,1人民币元/吨,202607,2025-07-16,2026-07-15,20260717
RS2607.ZCE,RS607,CZCE,菜籽2607,RS,,吨,10.0,人民币元/吨,1人民币元/吨,202607,2025-07-15,2026-07-14,20260717
PS2602.GFE,PS2602,GFEX,多晶硅2602,PS,,吨,3.0,人民币元/吨,5人民币元/吨,202602,2025-02-19,2026-02-13,20260226
PB2606.SHF,PB2606,SHFE,沪铅2606,PB,,吨,5.0,人民币元/吨,5人民币元/吨,202606,2025-06-17,2026-06-15,20260617
WR2606.SHF,WR2606,SHFE,线材2606,WR,,吨,10.0,人民币元/吨,1人民币元/吨,202606,2025-06-17,2026-06-15,20260617
NR2603.INE,NR2603,INE,20号胶2603,NR,,吨,10.0,人民币元/吨,5人民币元/吨,202603,2025-03-18,2026-03-16,20260323
